brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,34649,,3,0
2,1.0,Core i3,,,1.0,,,,1,,,,0,2,38999,,65,5
2,1.0,Core i3,,,1.0,,,,1,,,,0,2,39999,,8,1
1,1.0,Core i5,,,1.0,,,,2,,,,0,2,69990,,0,0
1,1.0,Celeron Dual,,,1.0,,,,1,,,,0,2,26990,,0,0
1,1.0,Celeron Dual,,,1.0,,,,1,,,,0,2,22990,,0,0
1,1.0,Celeron Dual,,,1.0,,,,2,,,,0,2,21990,,31,3
1,1.0,Core i5,,,1.0,,,,2,,,,0,2,58799,,0,0
2,1.0,Core i5,,,1.0,,,,2,,,,0,2,49999,,0,0
3,2.0,Ryzen 5,,,1.0,,,,2,,,,0,2,59990,,1946,240
3,2.0,Ryzen 5,,,1.0,,,,2,,,,0,2,93700,,259,47
3,2.0,Ryzen 5,,,1.0,,,,2,,,,0,2,72990,,425,67
4,1.0,Celeron Dual,,,1.0,,,,1,,,,0,2,17490,,1120,196
1,1.0,Celeron Dual,,,1.0,,,,1,,,,0,2,22990,,0,0
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,35990,,0,0
5,1.0,Core i3,,,1.0,,,,1,,,,1,2,56490,,0,0
5,1.0,Core i5,,,1.0,,,,1,,,,0,2,65390,,0,0
2,1.0,Celeron Dual,,,1.0,,,,1,,,,0,2,31999,,286,19
5,1.0,Celeron Dual,,,1.0,,,,1,,,,0,2,32490,,58,6
2,1.0,Celeron Dual,,,1.0,,,,1,,,,0,2,31799,,0,0
1,1.0,Celeron Dual,,,1.0,,,,1,,,,0,2,29890,,7,0
1,1.0,Celeron Dual,,,1.0,,,,1,,,,0,2,23990,,15279,1947
5,1.0,Core i3,,,1.0,,,,1,,,,0,2,32955,,311,27
5,1.0,Core i5,,,1.0,,,,2,,,,0,2,46200,,47,7
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,34429,,37,6
2,1.0,Core i3,,,1.0,,,,2,,,,0,1,37990,,2080,235
1,1.0,Core i3,,,1.0,,,,2,,,,0,1,35990,,1479,181
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,33980,,67,3
5,1.0,Core i3,,,1.0,,,,1,,,,0,1,39990,,273,30
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,39490,,1267,171
5,1.0,Core i3,,,1.0,,,,1,,,,1,1,53990,,14,0
3,1.0,Core i3,,,1.0,,,,1,,,,0,2,38990,,0,0
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,37990,,284,39
1,1.0,Core i3,,,1.0,,,,1,,,,0,1,37890,,44,5
2,1.0,Core i3,,,1.0,,,,1,,,,0,2,38990,,33,4
2,1.0,Core i3,,,1.0,,,,1,,,,0,2,37990,,286,36
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,41990,,10,5
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,45990,,816,147
2,1.0,Core i3,,,1.0,,,,1,,,,0,2,39990,,543,65
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,42490,,9,1
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,36990,,1178,137
2,1.0,Core i3,,,1.0,,,,1,,,,1,1,53990,,299,41
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,36990,,20,1
2,1.0,Core i3,,,1.0,,,,1,,,,0,2,38940,,758,64
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,39490,,634,64
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,45990,,816,147
2,1.0,Core i3,,,1.0,,,,1,,,,0,1,39999,,4,0
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,42990,,17,2
6,1.0,Core i3,,,1.0,,,,1,,,,1,2,49990,,24,5
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,41490,,1753,165
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,41990,,216,21
2,1.0,Core i3,,,1.0,,,,1,,,,0,1,41990,,1084,160
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,38490,,19,3
2,1.0,Core i3,,,1.0,,,,1,,,,0,1,38990,,106,13
2,1.0,Core i3,,,1.0,,,,1,,,,0,1,44990,,42,4
2,1.0,Core i3,,,1.0,,,,1,,,,0,2,36490,,0,0
2,1.0,Core i3,,,1.0,,,,2,,,,0,2,38970,,0,0
5,1.0,Core i3,,,1.0,,,,1,,,,0,1,44900,,1029,107
7,1.0,Core i3,,,1.0,,,,1,,,,0,2,38990,,53,11
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,44427,,0,0
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,35990,,0,0
2,1.0,Core i3,,,1.0,,,,1,,,,0,1,40200,,48,1
2,1.0,Core i3,,,1.0,,,,2,,,,0,2,40990,,3,0
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,42490,,0,0
3,1.0,Celeron Dual,,,1.0,,,,2,,,,0,2,23990,,61,4
6,1.0,Core i3,,,1.0,,,,1,,,,1,2,71999,,97,13
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,39990,,181,19
2,1.0,Core i3,,,1.0,,,,1,,,,0,1,41998,,529,39
1,1.0,Core i3,,,1.0,,,,2,,,,0,2,41990,,0,0
2,1.0,Core i3,,,1.0,,,,1,,,,0,1,39999,,0,0
1,1.0,Core i3,,,1.0,,,,2,,,,0,2,39990,,0,0
2,1.0,Core i3,,,1.0,,,,1,,,,0,2,39998,,10,1
5,1.0,Core i3,,,1.0,,,,1,,,,0,1,42490,,5205,561
2,1.0,Core i3,,,1.0,,,,2,,,,0,2,41990,,3,0
1,1.0,Core i3,,,1.0,,,,2,,,,0,2,48490,,0,0
5,1.0,Core i3,,,1.0,,,,1,,,,0,1,44376,,1090,96
6,1.0,Core i3,,,1.0,,,,2,,,,0,2,43900,,0,0
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,46690,,0,0
2,1.0,Core i3,,,1.0,,,,2,,,,0,2,40990,,1,1
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,39990,,44,2
2,1.0,Core i3,,,1.0,,,,1,,,,0,2,43990,,0,0
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,36990,,70,9
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,48500,,0,0
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,48990,,0,0
1,1.0,Celeron Dual,,,3.0,,,,2,,,,0,2,23490,,632,92
5,1.0,Core i3,,,1.0,,,,1,,,,1,1,54238,,71,8
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,37990,,990,108
5,1.0,Core i3,,,1.0,,,,1,,,,0,1,42990,,158,18
5,1.0,Core i3,,,1.0,,,,1,,,,0,1,42990,,681,59
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,35990,,130,12
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,42990,,30,4
1,1.0,Core i3,,,,,,,2,,,,1,1,51990,,6,2
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,48990,,174,30
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,42990,,40,7
2,1.0,Core i3,,,1.0,,,,1,,,,0,2,38990,,13,1
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,45990,,184,29
5,1.0,Core i3,,,1.0,,,,1,,,,0,1,42490,,1296,126
5,1.0,Core i3,,,1.0,,,,1,,,,0,1,43970,,571,56
1,1.0,Core i3,,,1.0,,,,1,,,,0,1,39990,,2551,297
7,1.0,Core i3,,,1.0,,,,1,,,,0,2,48990,,17,3
5,1.0,Core i3,,,1.0,,,,1,,,,0,1,54990,,35,3
7,1.0,Core i3,,,1.0,,,,1,,,,0,2,40990,,118,17
1,1.0,Core i3,,,1.0,,,,1,,,,0,1,41990,,0,0
2,1.0,Core i3,,,1.0,,,,1,,,,1,2,54990,,245,34
1,1.0,Core i3,,,1.0,,,,1,,,,0,1,44990,,2058,305
5,1.0,Core i3,,,1.0,,,,1,,,,0,2,41250,,117,11
5,1.0,Core i3,,,1.0,,,,1,,,,0,2,44990,,0,0
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,42990,,74,11
6,1.0,Core i3,,,1.0,,,,1,,,,1,2,60790,,10,1
5,1.0,Core i3,,,1.0,,,,1,,,,0,2,45650,,39,4
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,41990,,29,7
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,45490,,43,4
1,1.0,Core i3,,,1.0,,,,1,,,,0,1,44990,,0,0
2,1.0,Core i3,,,1.0,,,,1,,,,0,1,42990,,984,99
5,1.0,Core i3,,,1.0,,,,1,,,,0,1,45490,,523,66
5,1.0,Core i3,,,1.0,,,,2,,,,0,2,38799,,30,1
5,1.0,Core i3,,,1.0,,,,1,,,,1,1,69267,,0,0
1,1.0,Core i3,,,1.0,,,,1,,,,0,1,51649,,0,0
5,1.0,Core i3,,,1.0,,,,1,,,,0,1,47990,,1605,215
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,40990,,4008,519
1,1.0,Core i3,,,1.0,,,,1,,,,0,1,42990,,1869,234
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,44890,,7,0
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,41490,,4008,519
5,1.0,Core i3,,,1.0,,,,2,,,,0,2,50990,,0,0
5,1.0,Core i3,,,1.0,,,,1,,,,0,1,48900,,1278,135
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,40990,,4008,519
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,41790,,0,0
2,1.0,Core i3,,,1.0,,,,1,,,,1,1,57999,,10,2
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,45930,,0,0
5,1.0,Core i3,,,1.0,,,,1,,,,1,1,55490,,143,15
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,32890,,28,4
2,1.0,Core i3,,,1.0,,,,1,,,,0,1,35990,,2124,233
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,42490,,276,40
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,42190,,250,21
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,39490,,1917,189
5,1.0,Core i3,,,1.0,,,,1,,,,0,1,43690,,4999,490
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,35990,,17,0
6,1.0,Core i3,,,1.0,,,,2,,,,0,2,43800,,17,0
2,1.0,Core i3,,,1.0,,,,2,,,,0,2,38990,,0,0
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,34990,,4203,490
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,38900,,13,0
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,39990,,15,1
6,1.0,Core i3,,,1.0,,,,2,,,,0,2,40890,,527,46
2,1.0,Core i3,,,1.0,,,,1,,,,0,2,36990,,103,10
5,1.0,Core i3,,,1.0,,,,1,,,,0,1,39990,,324,45
5,1.0,Core i3,,,1.0,,,,1,,,,0,1,41990,,69,5
6,1.0,Core i3,,,1.0,,,,2,,,,0,2,43970,,16,0
5,1.0,Core i3,,,1.0,,,,1,,,,0,2,39790,,40,3
1,1.0,Core i3,,,1.0,,,,2,,,,0,2,35590,,12,1
5,1.0,Core i3,,,1.0,,,,1,,,,0,1,36490,,1146,175
1,1.0,Core i3,,,1.0,,,,1,,,,0,1,38990,,1850,216
1,1.0,Core i3,,,1.0,,,,2,,,,0,2,33990,,43,7
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,43400,,231,26
1,1.0,Celeron Dual,,,3.0,,,,2,,,,0,2,24990,,502,93
5,1.0,Core i3,,,1.0,,,,1,,,,0,1,40750,,1096,116
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,43000,,313,35
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,38000,,7,0
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,37990,,265,46
5,1.0,Core i3,,,1.0,,,,1,,,,0,2,49279,,38,3
2,1.0,Core i3,,,1.0,,,,2,,,,0,2,38999,,7,2
1,1.0,Core i3,,,1.0,,,,2,,,,0,2,41500,,4,0
3,1.0,Core i3,,,1.0,,,,2,,,,0,2,36999,,0,0
6,1.0,Core i3,,,1.0,,,,2,,,,0,2,42900,,0,0
1,1.0,Celeron Dual,,,3.0,,,,2,,,,0,2,21490,,818,113
6,1.0,Core i3,,,1.0,,,,2,,,,0,2,41480,,25,4
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,32990,,12,0
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,38680,,17,1
1,1.0,Celeron Dual,,,3.0,,,,2,,,,0,2,23990,,974,170
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,40390,,83,15
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,33990,,31,6
1,1.0,Celeron Dual,,,3.0,,,,2,,,,0,2,20490,,637,91
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,41490,,7,5
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,45490,,207,16
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,44490,,844,103
1,1.0,Core i3,,,1.0,,,,1,,,,0,1,41890,,53,6
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,42990,,62,7
3,1.0,Core i3,,,1.0,,,,1,,,,0,2,40990,,38,2
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,48990,,724,92
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,43590,,0,0
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,44690,,9,0
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,40990,,0,0
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,43990,,0,0
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,43590,,0,0
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,41390,,56,7
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,44290,,0,0
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,48999,,0,0
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,39990,,170,11
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,46390,,95,5
1,1.0,Celeron Dual,,,3.0,,,,1,,,,0,2,18990,,197,25
1,1.0,Celeron Dual,,,3.0,,,,2,,,,0,2,17990,,1180,148
5,1.0,Celeron Dual,,,1.0,,,,1,,,,0,2,26470,,232,23
5,1.0,Celeron Dual,,,1.0,,,,1,,,,0,2,27990,,596,65
2,1.0,Celeron Dual,,,1.0,,,,2,,,,0,2,29999,,19,1
2,1.0,Celeron Dual,,,,,,,1,,,,0,2,25990,,84,16
2,1.0,Celeron Dual,,,3.0,,,,2,,,,0,2,16990,,414,54
2,1.0,Celeron Dual,,,3.0,,,,2,,,,0,2,24990,,70,16
3,1.0,Core i5,,,,,,,2,,,,0,2,50990,,10966,1185
3,1.0,Core i5,,,3.0,,,,2,,,,0,2,119990,,1,1
3,1.0,Core i5,,,3.0,,,,2,,,,0,2,94190,,31,6
1,1.0,Core i5,,,3.0,,,,2,,,,0,2,106167,,1881,241
6,1.0,Core i5,,,3.0,,,,2,,,,0,2,68090,,23,4
6,1.0,Core i5,,,3.0,,,,2,,,,0,2,139990,,0,0
5,1.0,Core i5,,,3.0,,,,2,,,,0,2,55990,,818,109
5,1.0,Core i5,,,3.0,,,,2,,,,0,2,102551,,0,0
2,1.0,Core i5,,,3.0,,,,2,,,,0,2,46990,,4428,569
5,1.0,Core i5,,,1.0,,,,1,,,,0,2,76012,,129,16
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,49490,,365,35
3,1.0,Core i5,,,2.0,,,,1,,,,0,1,86867,,39,3
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,48990,,0,0
6,1.0,Core i5,,,1.0,,,,1,,,,0,2,55990,,3,0
3,1.0,Core i5,,,2.0,,,,1,,,,1,1,81998,,14,3
5,1.0,Core i5,,,1.0,,,,1,,,,1,1,136590,,0,0
3,1.0,Core i5,,,1.0,,,,1,,,,0,2,59490,,33,7
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,49800,,0,0
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,61999,,4,0
5,1.0,Core i5,,,1.0,,,,1,,,,0,2,54990,,116,15
5,1.0,Core i5,,,1.0,,,,1,,,,0,2,53990,,206,17
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,52990,,300,24
5,1.0,Core i5,,,1.0,,,,1,,,,0,1,67990,,108,6
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,57990,,3712,412
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,62300,,825,95
2,1.0,Core i5,,,1.0,,,,1,,,,0,2,52990,,0,0
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,51990,,85,4
2,1.0,Core i5,,,1.0,,,,1,,,,0,2,61990,,56,7
1,1.0,Core i5,,,,,,,2,,,,1,1,63990,,10,1
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,65990,,17,4
3,1.0,Core i5,,,1.0,,,,1,,,,0,2,52990,,155,20
2,1.0,Core i5,,,1.0,,,,1,,,,0,2,49990,,0,0
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,71990,,91,17
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,47990,,35,2
2,1.0,Core i5,,,1.0,,,,2,,,,0,1,48490,,126,13
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,72990,,74,10
7,1.0,Core i5,,,1.0,,,,1,,,,0,2,76990,,75,17
1,1.0,Core i5,,,1.0,,,,1,,,,0,1,89990,,124,17
7,1.0,Core i5,,,1.0,,,,1,,,,0,2,59990,,1597,228
1,1.0,Core i5,,,1.0,,,,1,,,,0,1,65990,,3850,378
6,1.0,Core i5,,,1.0,,,,1,,,,1,2,71990,,7,1
6,1.0,Core i5,,,1.0,,,,1,,,,1,2,71890,,3,0
2,1.0,Core i5,,,1.0,,,,1,,,,0,2,64990,,0,0
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,65990,,0,0
5,1.0,Core i5,,,1.0,,,,1,,,,0,2,55999,,5,1
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,73490,,213,45
5,1.0,Core i5,,,1.0,,,,1,,,,0,1,74490,,10,0
5,1.0,Core i5,,,1.0,,,,1,,,,0,1,58340,,69,6
3,1.0,Core i5,,,1.0,,,,1,,,,0,2,55999,,6,0
6,1.0,Core i5,,,1.0,,,,1,,,,0,2,67990,,93,9
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,59990,,11,2
1,1.0,Core i5,,,1.0,,,,1,,,,0,1,82990,,262,31
6,1.0,Core i5,,,1.0,,,,1,,,,0,1,64190,,0,0
6,1.0,Core i5,,,1.0,,,,1,,,,0,2,70090,,5,1
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,49990,,45,3
7,1.0,Core i5,,,1.0,,,,1,,,,0,2,55490,,8,1
5,1.0,Core i5,,,,,,,1,,,,1,2,97990,,3,1
1,1.0,Core i5,,,1.0,,,,1,,,,0,1,54990,,1681,227
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,59990,,37,2
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,53990,,61,2
5,1.0,Core i5,,,1.0,,,,1,,,,0,1,66999,,17,1
3,1.0,Core i5,,,,,,,1,,,,0,1,60990,,17,1
1,1.0,Core i5,,,1.0,,,,1,,,,0,1,47990,,1625,152
5,1.0,Core i5,,,1.0,,,,2,,,,0,1,59999,,4,1
6,1.0,Core i5,,,1.0,,,,1,,,,0,2,79990,,0,0
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,63990,,0,0
5,1.0,Core i5,,,1.0,,,,1,,,,0,1,63990,,17,1
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,59990,,0,0
2,1.0,Core i5,,,1.0,,,,1,,,,0,2,55990,,0,0
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,59990,,0,0
